卑劣的街头 / 비열한 거리,卑劣的街头,7.8,36158,庾河,庾河,赵寅成/李宝英/千虎珍/南宫珉,动作/惊悚/犯罪,韩国,2006-06-15,141 分钟(韩国)
盛夏的方程式 / 真夏の方程式,盛夏的方程式,7.4,19954,西谷弘,福田靖/东野圭吾,福山雅治/吉高由里子/北村一辉/杏/前田吟/风吹淳/白龙/盐见三省/山﨑光/西田尚美/田中哲司,剧情/悬疑,日本,2013-06-29(日本),129分钟
豪勇七蛟龙 / The Magnificent Seven,豪勇七蛟龙,7.4,18001,安东尼·福奎阿,黑泽明/桥本忍/小国英雄/理查德·温克/尼克·皮佐拉托,丹泽尔·华盛顿/克里斯·普拉特/马特·波莫/伊桑·霍克/文森特·多诺费奥/海莉·贝内特/彼得·萨斯加德/肖恩·布里吉格斯/凯姆·吉甘戴/卢克·葛莱姆斯/李秉宪/威廉姆·李·斯科特/迪兰·科宁/比利·斯洛特/小托马斯·布莱克/格里夫·弗斯特/曼努埃尔·加西亚-鲁尔福/迈克·加萨威/大卫·曼扎纳雷斯/弗兰克·鲍沃斯/埃姆利·贝赫什蒂/马丁·桑斯梅耶/罗布·梅洛/克林特·詹姆斯/肖恩·博伊德,动作/西部/冒险,美国,2016-09-08(多伦多电影节)/2016-09-23(美国),133分钟
华颐：吞噬怪物的孩子 / 화이 : 괴물을 삼킨 아이,华颐：吞噬怪物的孩子,7.2,13223,张俊焕,张俊焕,金允石/吕珍九/赵震雄/南志铉/柳演锡/金成钧/李璟荣/张铉诚/朴海俊/朴勇宇/李泰林/金英民,动作/惊悚,韩国,2013-10-09(韩国),126分钟
刺客信条 / Assassin's Creed,刺客信条,5.4,51789,贾斯汀·库泽尔,比尔·科拉奇/亚当·库珀/迈克尔·莱斯利,迈克尔·法斯宾德/玛丽昂·歌迪亚/杰瑞米·艾恩斯/布莱丹·格里森/夏洛特·兰普林/迈克尔·肯尼斯·威廉姆斯/丹尼斯·门诺切特/亚里安妮·拉贝德/赫立德·阿卜杜拉/艾斯·戴维斯/马蒂亚斯·瓦雷拉/卡勒姆·特纳/卡洛斯·巴登/哈维尔·古铁雷斯/霍威克·库区科利安,动作/科幻/历史/冒险,美国/法国/香港/英国/台湾/马耳他/加拿大,2017-02-24(中国大陆)/2016-12-21(美国),116分钟
比利·林恩的中场战事 / Billy Lynn's Long Halftime Walk,比利·林恩的中场战事,8.4,178977,李安,让-克里斯托弗·卡斯特里/本·方丹,乔·阿尔文/加内特·赫德兰/克里斯汀·斯图尔特/范·迪塞尔/李淳/麦肯兹·利/史蒂夫·马丁/克里斯·塔克/本·普拉特/阿图罗·卡斯特罗/亚斯特罗/博·纳普/伊斯梅尔·克鲁兹·科尔多瓦/巴尼·哈里斯/布鲁斯·麦金农,剧情/战争,美国/英国/中国大陆,2016-11-11(美国/中国大陆)/2016-10-15(纽约电影节),110分钟(中国大陆)/113分钟
嫌疑人X的献身 / 容疑者Xの献身,嫌疑人X的献身,8.3,121597,西谷弘,福田靖/东野圭吾,福山雅治/柴崎幸/堤真一/松雪泰子/北村一辉/金泽美穗,剧情/悬疑/犯罪,日本,2008-10-04(日本),128分钟
萨利机长 / Sully,萨利机长,8.3,121265,克林特·伊斯特伍德,托德·考马尔尼基/切斯利·舒伦伯格/杰弗里·札斯洛,汤姆·汉克斯/艾伦·艾克哈特/劳拉·琳妮/杰瑞·费拉拉/安娜·冈/奥图姆·瑞瑟/霍特·麦克卡兰尼/克里斯·鲍尔/杰米·谢尔丹/安·库萨克/莫莉·哈根/马克斯·阿德勒/萨姆·亨廷顿/韦恩·巴斯楚普/维勒莉·玛哈菲,剧情/传记/灾难,美国,2016-12-09(中国大陆)/2016-09-09(美国),96分钟
误杀瞒天记 / Drishyam,误杀瞒天记,8.2,17643,尼西卡特·卡马特,乌皮德拉·塞德海耶,阿贾耶·德乌干/塔布/施芮娅·萨兰/拉贾特·卡普尔/伊西塔·杜塔/莫伦诺·贾达夫/皮拉桑纳·凯特卡尔/尤盖莎·索南/帕拉斯莫什·帕拉布,剧情/悬疑/犯罪,印度,2015-07-31(印度),163分钟
热血警探 / Hot Fuzz,热血警探,8.3,81570,埃德加·赖特,埃德加·赖特/西蒙·佩吉,西蒙·佩吉/尼克·弗罗斯特/吉姆·布劳德本特/马丁·弗瑞曼/比尔·奈伊/比尔·贝利,喜剧/动作,美国/法国/英国,2007-02-14(英国),121分钟
义兄弟 / 의형제,义兄弟,7.2,8969,张勋,张勋/张珉石,宋康昊/姜栋元/高昌锡/尹熙锡,剧情/惊悚,韩国,2010-02-04,
夺宝联盟 / 도둑들,夺宝联盟,7.1,101825,崔东勋,崔东勋,金允石/全智贤/李政宰/金惠秀/金海淑/吴达洙/任达华/李心洁/曾国祥/金秀贤/申河均,动作/犯罪,韩国,2013-01-15(中国大陆)/2012-07-25(韩国),123分钟(中国大陆)/135分钟(韩国)
古惑仔2之猛龙过江,古惑仔2之猛龙过江,7.5,41779,刘伟强,许莎朗/文隽,郑伊健/陈小春/黎姿/邱淑贞/林晓峰/谢天华/朱永棠/黄秋生/任达华/雷震/柯受良/谭小环/陈豪,剧情/动作,香港,1996-03-30(香港),101 分钟
狂怒 / Fury,狂怒,7.8,92938,大卫·阿耶,大卫·阿耶,布拉德·皮特/希亚·拉博夫/罗根·勒曼/迈克尔·佩纳/乔·博恩瑟/吉姆·帕拉克/布拉德·威廉姆·亨克/凯文·万斯/泽维尔·塞缪尔/詹森·艾萨克/安娜玛丽亚·玛琳卡/艾丽西娅·冯·里特贝格/斯科特·伊斯特伍德,剧情/动作/战争,英国/中国大陆/美国,2014-11-21(中国大陆)/2014-10-17(美国),132分钟(中国大陆)/134分钟(美国)
新世界 / 신세계,新世界,8.5,71091,朴勋政,朴勋政,李政宰/崔岷植/黄政民/宋智孝/朴圣雄,剧情/犯罪,韩国,2013-02-21(韩国),134分钟
血战钢锯岭 / Hacksaw Ridge,血战钢锯岭,8.7,265790,梅尔·吉布森,安德鲁·奈特/罗伯特·申坎,安德鲁·加菲尔德/萨姆·沃辛顿/文斯·沃恩/雨果·维文/卢克·布雷西/泰莉莎·帕尔墨/瑞切尔·格里菲斯/纳撒尼尔·布佐尼克/理查德·劳斯伯格/马特·纳夫莱/费拉斯·迪拉尼/瑞安·柯尔/卢克·佩格勒,剧情/动作/传记/历史/战争,美国/澳大利亚,2016-12-08(中国大陆)/2016-11-04(美国),139分钟(中国大陆)/140分钟(美国)
西游伏妖篇,西游伏妖篇,5.6,210621,徐克,周星驰/李思臻,吴亦凡/林更新/姚晨/林允/包贝尔/巴特尔/杨一威/大鹏/王丽坤/汪铎/张美娥,喜剧/动作/奇幻/古装,中国大陆/香港,2017-01-28(中国大陆),108分钟
黑社会 / 黑社會,黑社会,7.9,61893,杜琪峰,游乃海/叶天成,任达华/梁家辉/古天乐/林雪/张家辉/张兆辉/林家栋/王天林/谭炳文/邵美琪/姜大卫/尤勇/黄浩然/车保罗/吴廷烨/郭锋/王钟/陈少鹏/元彬/甄懋强/洪罗拔/余袁稳/黄志伟/赵志诚/黄思恩/林文伟/何汉州/唐培中/何柱/元宝/李日昇,剧情/惊悚/犯罪,香港,2005-10-20(香港),100 分钟/85 分钟(删减版)
但丁密码 / Inferno,但丁密码,6.2,54927,朗·霍华德,大卫·凯普/丹·布朗,汤姆·汉克斯/菲丽希缇·琼斯/本·福斯特/奥玛·赛/伊尔凡·可汗/西瑟·巴比特·科努德森/安娜·乌拉鲁/沃尔夫冈·施特格曼/阿提拉·阿帕/乔恩·多纳休,悬疑/惊悚,美国/匈牙利,2016-10-28(中国大陆/美国),122分钟
熔炉 / 도가니,熔炉,,,,,,,,,
太极旗飘扬 / 태극기 휘날리며,太极旗飘扬,8.3,50664,姜帝圭,姜帝圭/韩知勋,张东健/元斌/李恩珠/孔炯轸/崔岷植/郑太勋,剧情/动作/战争,韩国,2004-02-06(韩国),148分钟
隐秘而伟大 / 은밀하게 위대하게,隐秘而伟大,7.7,98991,千丙哲,尹洪基/金方贤,金秀贤/李玹雨/朴基雄/李彩英/孙贤周/高昌锡/金成钧/张光/朴恩彬,喜剧/动作,韩国,2013-06-05(韩国),124分钟/133分钟(加长版)
兰戈 / Rango,兰戈,7.8,81151,戈尔·维宾斯基,约翰·洛根/戈尔·维宾斯基/James Ward Byrkit,约翰尼·德普/艾拉·菲舍尔/阿比盖尔·布蕾斯琳/尼德·巴蒂/阿尔弗雷德·莫里纳/比尔·奈伊/斯蒂芬·鲁特/哈利·戴恩·斯坦通/蒂莫西·奥利芬特/雷·温斯顿/伊安·艾伯克龙比/吉尔·伯明翰/克劳迪娅·布莱克,喜剧/动作/动画/家庭/西部/冒险,美国,2011-03-04(美国),107分钟/112分钟(加长版)
看见恶魔 / 악마를 보았다,看见恶魔,,,,,,,,,
与犯罪的战争：坏家伙的全盛时代 / 범죄와의 전쟁 : 나쁜놈들 전성시대,与犯罪的战争：坏家伙的全盛时代,7.7,22721,尹钟彬,尹钟彬,崔岷植/河正宇/赵震雄/马东锡/金英善/金惠恩/郭度沅,剧情/犯罪,韩国,2012-02-02(韩国),133分钟
乘风破浪,乘风破浪,6.8,263235,韩寒,韩寒,邓超/彭于晏/赵丽颖/董子健/金士杰/易小星/张本煜/李荣浩/高华阳/李淳/孙伊涵/熊黎/李春嫒/潘米/小马达/金毛期期/孙启恒/孙强/彭菲茗/贾川西/张国庆/程诚/白珞力/方励/郭佳杰/冷海鸣,剧情/喜剧,中国大陆,2017-01-28(中国大陆),102分钟
生化危机：终章 / Resident Evil: The Final Chapter,生化危机：终章,6.6,121434,保罗·安德森,保罗·安德森,米拉·乔沃维奇/伊恩·格雷/艾丽·拉特/鲁比·罗丝/李准基/肖恩·罗伯茨/威廉·莱维/欧文·马肯/罗拉/艾尔·安德森/密尔顿·施尔/西沃恩·霍奇森/凯文·奥托/保罗·汉普赛尔,动作/科幻/恐怖,美国,2017-02-24(中国大陆)/2016-12-23(日本)/2017-01-27(美国),106分钟(美国)/99分钟(中国大陆)
长城 / The Great Wall,长城,4.9,216827,张艺谋,马克斯·布鲁克斯/爱德华·兹威克/马歇尔·赫斯科维兹/托尼·吉尔罗伊/托马斯·图尔,马特·达蒙/景甜/佩德罗·帕斯卡/刘德华/威廉·达福/张涵予/鹿晗/彭于晏/林更新/郑恺/黄轩/陈学冬/王俊凯/余心恬/刘冰/李亨/李京沐/纽曼·阿卡/约翰尼·希科/皮鲁·埃斯贝克,剧情/动作/奇幻/冒险,中国大陆/美国,2016-12-16(中国大陆)/2017-02-17(美国),104分钟
极限特工3：终极回归 / xXx: The Return of Xander Cage,极限特工3：终极回归,5.7,67871,D·J·卡卢索,F·斯科特·弗雷泽/里奇·威尔克斯,范·迪塞尔/甄子丹/迪皮卡·帕度柯妮/吴亦凡/鲁比·罗丝/塞缪尔·杰克逊/妮娜·杜波夫/托尼·贾/托妮·科莱特/赫敏·科菲尔德/阿尔·萨皮恩扎/艾斯·库珀/内马尔/罗伊·麦克凯恩/迈克尔·比斯平,动作/冒险,美国,2017-02-10(中国大陆)/2017-01-05(墨西哥)/2017-01-20(美国),107分钟
罗曼蒂克消亡史,罗曼蒂克消亡史,7.7,169054,程耳,程耳,葛优/章子怡/浅野忠信/杜淳/钟欣潼/倪大红/赵宝刚/袁泉/闫妮/韩庚/霍思燕/杜江/王传君/钟汉良/马晓伟/吕行/乔笑笑/刘天阳/赵海涛/叶禾/周敬峰/杨露璐/松峰莉璃/松浦敬之/平田康之/张晓龙/郭晓小/小黑,剧情/动作/悬疑,中国大陆/香港,2016-12-16(中国大陆),125分钟
穿越时空的少女 / 時をかける少女,穿越时空的少女,8.6,174985,细田守,奥寺佐渡子/筒井康隆,仲里依纱/石田卓也/板仓光隆/原沙知绘/谷村美月/垣内彩未/关户优希,剧情/爱情/科幻/动画,日本,2006-07-15(日本),98分钟
我的战争,我的战争,4.8,17572,彭顺,刘恒,刘烨/王珞丹/杨祐宁/叶青/黄志忠/王龙华,剧情/历史/战争,中国大陆,2016-09-15(中国大陆),124分钟
西部往事 / C'era una volta il West,西部往事,8.5,18159,赛尔乔·莱翁内,Sergio Donati/Mickey Knox/赛尔乔·莱翁内/达里奥·阿基多/贝纳尔多·贝托鲁奇,亨利·方达/查尔斯·布朗森/克劳迪娅·卡汀娜/杰森·罗巴兹/杰克·伊莱姆,剧情/犯罪/西部,意大利/美国,1968-12-21,175分钟(意大利)/165分钟(国际版)/137分钟(芬兰1970版)
上帝之城 / Cidade de Deus,上帝之城,8.9,151680,卡迪亚·兰德/费尔南多·梅里尔斯,布罗里欧·曼托伐尼/Paulo Lins,亚历桑德雷·罗德里格斯/莱安德鲁·菲尔米诺/菲利佩·哈根森/道格拉斯·席尔瓦/Jonathan Haagensen/马修斯·纳克加勒/索·豪黑/艾莉丝·布拉加,剧情/犯罪,巴西/法国,2002-05-18(戛纳电影节)/2002-08-30(巴西),130分钟
摆渡人,摆渡人,4.0,137483,张嘉佳,张嘉佳/王家卫,梁朝伟/金城武/陈奕迅/杨颖/张榕容/杜鹃/熊黛林/大鹏/马苏/崔志佳/贾玲/李宇春/鹿晗/欧弟/纳豆/金士杰/柯佳嬿/李灿森/喜翔/曹可凡/吴艺璇,喜剧/爱情,中国大陆/香港,2016-12-23(中国大陆),128分钟
